datetime,open,high,low,close,volume
2022-03-14 02:00:00,1.30393,1.30516,1.30364,1.30445,12100
2022-03-14 03:00:00,1.30444,1.30574,1.30382,1.30448,10335
2022-03-14 04:00:00,1.30449,1.30507,1.30316,1.30394,9284
2022-03-14 05:00:00,1.30394,1.3042,1.30192,1.30227,9962
2022-03-14 06:00:00,1.30228,1.30792,1.30226,1.30664,11780
2022-03-14 07:00:00,1.30663,1.30712,1.30424,1.30489,12429
2022-03-14 08:00:00,1.30488,1.30689,1.30439,1.30666,15077
2022-03-14 09:00:00,1.30668,1.3067,1.30404,1.30474,13607
2022-03-14 10:00:00,1.30475,1.30627,1.30326,1.30334,12048
2022-03-14 11:00:00,1.30334,1.30378,1.30246,1.3027,10524
2022-03-14 12:00:00,1.30271,1.30278,1.30154,1.30169,7567
2022-03-14 13:00:00,1.30168,1.30238,1.3001,1.30022,7451
2022-03-14 14:00:00,1.30023,1.3008,1.3001,1.30017,1912
2022-03-14 15:00:00,1.30048,1.30068,1.3002,1.30049,35
2022-03-14 16:00:00,1.30043,1.30103,1.30037,1.30076,1224
2022-03-14 17:00:00,1.3008,1.30114,1.30048,1.30101,2838
2022-03-14 18:00:00,1.301,1.30176,1.30098,1.30107,4572
2022-03-14 19:00:00,1.30106,1.30153,1.30004,1.30071,9565
2022-03-14 20:00:00,1.30073,1.30278,1.30066,1.30244,9732
2022-03-14 21:00:00,1.30245,1.3046,1.30245,1.30458,5824
2022-03-14 22:00:00,1.3046,1.30484,1.30404,1.30406,3586
2022-03-14 23:00:00,1.30407,1.30504,1.30376,1.30474,5641
2022-03-15 00:00:00,1.30474,1.30474,1.30264,1.30308,7309
2022-03-15 01:00:00,1.30308,1.30516,1.30268,1.30328,18268
2022-03-15 02:00:00,1.3033,1.30406,1.3018,1.30314,18163
2022-03-15 03:00:00,1.30312,1.30489,1.30202,1.30417,10813
2022-03-15 04:00:00,1.30416,1.30474,1.30317,1.30344,9854
2022-03-15 05:00:00,1.30344,1.30592,1.30336,1.30508,9237
2022-03-15 06:00:00,1.30509,1.30764,1.30509,1.30702,12360
2022-03-15 07:00:00,1.307,1.30786,1.30639,1.3074,15138
2022-03-15 08:00:00,1.30741,1.30784,1.30614,1.30712,13276
2022-03-15 09:00:00,1.3071,1.30888,1.30581,1.30666,15678
2022-03-15 10:00:00,1.30667,1.30688,1.304,1.305,14864
2022-03-15 11:00:00,1.305,1.30546,1.30402,1.30417,9577
2022-03-15 12:00:00,1.30416,1.30436,1.3021,1.30322,8502
2022-03-15 13:00:00,1.30322,1.30476,1.30304,1.30476,7287
2022-03-15 14:00:00,1.30476,1.30478,1.3038,1.30419,2294
2022-03-15 15:00:00,1.30445,1.30459,1.30334,1.30378,114
2022-03-15 16:00:00,1.30385,1.30465,1.30366,1.30432,1159
2022-03-15 17:00:00,1.30432,1.30494,1.30384,1.30444,3570
2022-03-15 18:00:00,1.30444,1.30508,1.30378,1.30386,5061
2022-03-15 19:00:00,1.30384,1.30576,1.30362,1.30534,5648
